TIME,BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
80.224943311,-165.083,-1.60242,4.33789,-0.646568,0.0061232,-2.5375,-6.63785,-0.548602,-0.76066,-1.75343,-2.21676,0.343588,-2.75429,-0.35844,-1.21038,-0.498608,-0.742171,1.89242,3.69305,3.59414,1.46974
80.248163265,-164.029,11.7924,-3.71968,6.74762,13.3248,-4.77697,-3.23771,5.98904,-1.69197,-2.87574,-2.65898,-2.54038,-3.49831,1.22209,-1.33826,-2.03963,0.708254,3.12223,2.73777,0.397128,1.22993
80.271383220,-202.288,24.156,12.1767,4.25386,7.27205,4.24828,-1.95516,2.94075,0.629113,-1.88126,-1.86869,-1.35527,-4.76433,-0.590385,-1.61102,-2.08417,0.68213,3.78743,2.07133,1.86358,0.933912
80.294603175,-211.508,28.0005,10.2553,2.71851,2.20812,10.1418,0.556073,0.662735,-0.637584,-1.59386,-5.16076,0.798046,-4.66452,-0.877245,-2.43619,-0.758463,1.92276,2.57023,1.19849,2.59925,2.36863
80.317823129,-224.267,34.8439,7.90569,3.10896,2.57683,6.66594,2.31956,1.40224,0.0636748,-0.812101,-6.27097,-0.705609,-3.50258,-0.936493,-2.24347,-0.356982,1.78833,2.57336,2.15627,3.46046,1.28782
80.341043084,-200.761,9.95027,18.9239,2.77102,2.32514,7.70602,0.822411,2.349,-2.18746,-1.77517,-1.54479,-1.91592,-5.38184,-1.9648,-4.57457,-0.714978,-0.192656,2.48214,1.35972,-0.384522,1.53439
80.364263039,-197.01,4.98155,18.2032,-2.10661,4.59531,6.52728,1.36388,3.00835,-2.67206,1.12978,-0.592768,-2.13852,-4.74854,-2.39291,-5.46166,-2.04253,0.784239,5.5176,4.8784,-0.560388,-1.77945
80.387482993,-211.436,13.72,14.2958,0.124592,4.8668,5.84973,2.66549,4.74111,-2.21778,-1.4325,-2.7326,-4.40184,-8.09362,-2.7247,-4.36721,-2.34388,-1.00813,3.45473,4.23012,0.148501,-1.70064
80.410702948,-222.578,29.0218,10.4736,-0.177246,7.18566,5.51804,-1.034,5.00902,-2.88,-1.16327,-2.60139,-1.42947,-4.87188,0.0591498,0.0559047,-0.248705,0.425275,4.59546,4.53124,-1.46667,-1.86769
80.433922902,-232.465,30.0537,4.07974,-3.64242,12.4317,2.03456,1.42868,4.6639,-2.49435,-0.598797,-0.614378,-3.27424,-5.31149,-1.27851,-3.44408,-1.39306,-0.29017,5.98436,3.79261,0.588824,-2.99114
80.457142857,-195.596,18.278,1.69278,0.238295,1.68117,2.39358,2.79156,4.75123,0.269513,-0.441994,-6.98434,-1.00821,-1.19823,-2.67856,-2.68331,-0.471769,-2.9362,3.44807,0.561425,-1.3832,-1.69917
80.480362812,-144.033,10.011,4.43262,8.08782,0.222055,2.94212,1.87977,4.19657,0.703391,-0.174073,-3.4568,-1.25795,-1.67663,-0.716792,-1.80457,-1.48642,-2.11489,-0.939302,-1.82276,-1.21146,-1.94451
80.503582766,-150.657,10.1267,2.89736,9.50349,-2.90694,5.90032,3.76286,7.50193,1.7221,-1.18891,-2.05204,0.586197,0.149618,0.519099,-0.834747,0.568624,0.906825,0.534115,-0.0542364,-0.616756,-0.435214
80.526802721,-160.388,5.82953,5.36311,7.66775,-0.484907,5.16796,1.58023,6.97287,6.49636,4.84146,1.84092,4.01354,-0.215615,-0.121868,-2.61489,-1.35293,-0.346062,2.40668,1.82157,0.420237,0.327551
80.550022676,-166.47,8.32655,4.52341,7.8649,-1.38319,6.05632,3.14214,4.54408,4.22328,3.23917,1.89842,5.08702,3.22293,3.052,-1.26431,0.559541,-0.227826,0.466623,2.54808,2.90656,1.10755
80.573242630,-172.355,8.64737,2.81288,4.43572,-4.07049,3.38649,-0.520414,7.20934,3.87807,-1.05445,-2.98507,2.92327,4.15274,3.16163,-0.217978,2.88424,3.16709,4.64354,3.17462,1.89962,4.02152
80.596462585,-166.897,17.8658,0.622039,3.55611,-2.77224,-0.81151,-5.37555,3.28674,0.733611,1.75216,-1.5367,2.21356,2.44875,2.07799,1.73594,0.973779,0.854526,3.07406,4.13084,2.64243,3.32027
80.619682540,-182.53,19.0972,4.89035,4.77413,-3.52705,2.61279,-5.32098,1.94026,0.0143842,-1.444,-3.24496,-0.991891,-0.800642,-0.873748,-2.69183,0.999041,-0.172558,-0.499191,2.20417,2.50218,1.78372
80.642902494,-186.043,18.7863,5.78811,1.96952,-4.57444,3.23601,-7.18944,3.8988,1.10306,-2.63191,-6.49536,-2.54469,-3.05888,-1.11043,-2.47819,-0.668472,0.84266,0.5707,3.27405,1.4121,1.06281
80.666122449,-194.349,22.1448,14.3361,2.17257,-1.70494,2.00722,-5.37699,4.52556,3.00787,2.85322,-3.75987,-2.17486,-1.94305,-3.28962,-0.505675,-2.26035,0.481732,0.553751,-0.3475,-1.79875,-0.531714
80.689342404,-217.109,27.6884,18.666,2.16115,-2.00917,1.2465,-5.30198,4.24903,-0.326673,2.42379,-2.50129,2.08492,1.56164,-2.3417,-0.802818,-2.63594,2.00386,1.88379,1.81815,1.61634,0.177325
80.712562358,-172.664,8.33523,19.2918,2.64036,-3.05337,1.87788,-4.28036,1.89054,1.40942,2.45121,-0.741137,-0.127782,-3.96059,0.902822,-1.26521,-0.739013,-0.796231,0.860353,1.41951,2.29765,-3.56249
80.735782313,-181.813,15.9811,16.1274,-3.05914,-0.262168,0.986048,0.218473,1.06971,-3.24577,-2.03328,-1.38074,0.0868356,-0.0916449,2.26677,-0.16357,0.298367,-1.33708,2.46281,3.48202,1.97983,-2.03434
80.759002268,-186.732,19.2502,7.87619,2.31616,4.80773,7.9423,-4.45309,-2.34355,0.933799,5.04424,1.63306,-0.680017,0.450407,0.900141,-2.76866,-1.45441,0.601231,1.71215,1.26467,2.42137,-1.54573
